section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,97
reject_reason,spread_too_wide,2
reject_reason,vwap_relationship_blocked,1
blocked_by_threshold,ODFL,1
blocked_by_threshold,WRBY,1
blocked_by_threshold,FLY,1
blocked_by_threshold,IP,1
blocked_by_threshold,FRO,1
blocked_by_threshold,PENN,1
blocked_by_threshold,NVAX,1
blocked_by_threshold,CORZ,1
blocked_by_threshold,WVE,1
blocked_by_threshold,AU,1
blocked_by_threshold,BW,1
blocked_by_threshold,RBLX,1
blocked_by_threshold,WMG,1
blocked_by_threshold,CRGY,1
blocked_by_threshold,DYN,1
blocked_by_threshold,DNLI,1
blocked_by_threshold,OSCR,1
blocked_by_threshold,FLG,1
blocked_by_threshold,CDNS,1
blocked_by_threshold,ASTS,1
blocked_by_threshold,CRWD,1
blocked_by_threshold,SMTC,1
blocked_by_threshold,WAY,1
blocked_by_threshold,KSS,1
blocked_by_threshold,WYNN,1
blocked_by_threshold,GLXY,1
blocked_by_threshold,PATH,1
blocked_by_threshold,BSY,1
blocked_by_threshold,SFM,1
blocked_by_threshold,BNTX,1
blocked_by_threshold,NBIS,1
blocked_by_threshold,FSLY,1
blocked_by_threshold,AZN,1
blocked_by_threshold,NRG,1
blocked_by_threshold,AESI,1
blocked_by_threshold,TEAM,1
blocked_by_threshold,CRCL,1
blocked_by_threshold,APP,1
blocked_by_threshold,CRWV,1
blocked_by_threshold,LNC,1
blocked_by_threshold,ASX,1
blocked_by_threshold,AGI,1
blocked_by_threshold,SBSW,1
blocked_by_threshold,CSGP,1
blocked_by_threshold,NDAQ,1
blocked_by_threshold,TER,1
blocked_by_threshold,CDW,1
blocked_by_threshold,NESR,1
blocked_by_threshold,RIOT,1
blocked_by_threshold,GLNG,1
blocked_by_threshold,AMKR,1
blocked_by_threshold,NOG,1
blocked_by_threshold,PGR,1
blocked_by_threshold,PRCT,1
blocked_by_threshold,ESI,1
blocked_by_threshold,ALM,1
blocked_by_threshold,CART,1
blocked_by_threshold,PSX,1
blocked_by_threshold,DXCM,1
blocked_by_threshold,HOOD,1
blocked_by_threshold,TJX,1
blocked_by_threshold,SWKS,1
blocked_by_threshold,CC,1
blocked_by_threshold,FIG,1
blocked_by_threshold,OLN,1
blocked_by_threshold,GEN,1
blocked_by_threshold,EXK,1
blocked_by_threshold,OC,1
blocked_by_threshold,FDX,1
blocked_by_threshold,UNH,1
blocked_by_threshold,ACHC,1
blocked_by_threshold,ZTS,1
blocked_by_threshold,ALLY,1
blocked_by_threshold,NOV,1
blocked_by_threshold,TMUS,1
blocked_by_threshold,MFC,1
blocked_by_threshold,SYK,1
blocked_by_threshold,CGNX,1
blocked_by_threshold,SSL,1
blocked_by_threshold,WDAY,1
blocked_by_threshold,TNGX,1
blocked_by_threshold,QURE,1
blocked_by_threshold,SARO,1
blocked_by_threshold,SJM,1
blocked_by_threshold,SGI,1
blocked_by_threshold,GTX,1
blocked_by_threshold,GTES,1
blocked_by_threshold,BBWI,1
blocked_by_threshold,TCOM,1
blocked_by_threshold,DX,1
blocked_by_threshold,AAPL,1
blocked_by_threshold,MUR,1
blocked_by_threshold,INSM,1
blocked_by_threshold,PONY,1
blocked_by_threshold,ARES,1
blocked_by_threshold,OI,1
blocked_by_threshold,ONON,1
blocked_by_spread,FNGU,1
blocked_by_spread,BATL,1
blocked_by_spread,FLY,1
blocked_by_spread,NVAX,1
blocked_by_spread,WVE,1
blocked_by_spread,CRGY,1
blocked_by_spread,DYN,1
blocked_by_spread,FLG,1
blocked_by_spread,SMTC,1
blocked_by_spread,KSS,1
blocked_by_spread,BSY,1
blocked_by_spread,FSLY,1
blocked_by_spread,TER,1
blocked_by_spread,PGR,1
blocked_by_spread,PRCT,1
blocked_by_spread,FIG,1
blocked_by_spread,OLN,1
blocked_by_spread,EXK,1
blocked_by_spread,ACHC,1
blocked_by_spread,NOV,1
blocked_by_spread,CGNX,1
blocked_by_spread,TNGX,1
blocked_by_spread,QURE,1
blocked_by_spread,SJM,1
blocked_by_spread,AAPL,1
blocked_by_spread,MUR,1
blocked_by_spread,INSM,1
blocked_by_spread,PONY,1
blocked_by_spread,ARES,1
