section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,100
blocked_by_threshold,HTGC,1
blocked_by_threshold,FLG,1
blocked_by_threshold,MRNA,1
blocked_by_threshold,PRCT,1
blocked_by_threshold,FSLY,1
blocked_by_threshold,ALHC,1
blocked_by_threshold,VG,1
blocked_by_threshold,RHI,1
blocked_by_threshold,ADMA,1
blocked_by_threshold,STNE,1
blocked_by_threshold,SSNC,1
blocked_by_threshold,DFTX,1
blocked_by_threshold,AESI,1
blocked_by_threshold,CPB,1
blocked_by_threshold,DOCN,1
blocked_by_threshold,QXO,1
blocked_by_threshold,SAIL,1
blocked_by_threshold,HIMS,1
blocked_by_threshold,UUUU,1
blocked_by_threshold,APLD,1
blocked_by_threshold,LRCX,1
blocked_by_threshold,VICI,1
blocked_by_threshold,HBM,1
blocked_by_threshold,PONY,1
blocked_by_threshold,SOC,1
blocked_by_threshold,CAI,1
blocked_by_threshold,GLXY,1
blocked_by_threshold,BATL,1
blocked_by_threshold,ORLA,1
blocked_by_threshold,FND,1
blocked_by_threshold,MRK,1
blocked_by_threshold,AJG,1
blocked_by_threshold,OKLO,1
blocked_by_threshold,IOT,1
blocked_by_threshold,CC,1
blocked_by_threshold,WVE,1
blocked_by_threshold,RGTI,1
blocked_by_threshold,BRZE,1
blocked_by_threshold,DHT,1
blocked_by_threshold,FLNC,1
blocked_by_threshold,FNB,1
blocked_by_threshold,WHR,1
blocked_by_threshold,DLTR,1
blocked_by_threshold,PLNT,1
blocked_by_threshold,GME,1
blocked_by_threshold,WFRD,1
blocked_by_threshold,OKTA,1
blocked_by_threshold,GPGI,1
blocked_by_threshold,CRBG,1
blocked_by_threshold,DKNG,1
blocked_by_threshold,SCHW,1
blocked_by_threshold,CCJ,1
blocked_by_threshold,LTH,1
blocked_by_threshold,BRO,1
blocked_by_threshold,FRO,1
blocked_by_threshold,MAS,1
blocked_by_threshold,DELL,1
blocked_by_threshold,RF,1
blocked_by_threshold,KVUE,1
blocked_by_threshold,SUNB,1
blocked_by_threshold,S,1
blocked_by_threshold,BANC,1
blocked_by_threshold,COIN,1
blocked_by_threshold,DX,1
blocked_by_threshold,UPST,1
blocked_by_threshold,RDDT,1
blocked_by_threshold,ETN,1
blocked_by_threshold,FBIN,1
blocked_by_threshold,TSEM,1
blocked_by_threshold,SE,1
blocked_by_threshold,WMG,1
blocked_by_threshold,SCO,1
blocked_by_threshold,EBC,1
blocked_by_threshold,LUNR,1
blocked_by_threshold,CENX,1
blocked_by_threshold,AU,1
blocked_by_threshold,ZS,1
blocked_by_threshold,SMR,1
blocked_by_threshold,BLDR,1
blocked_by_threshold,GLNG,1
blocked_by_threshold,CSTM,1
blocked_by_threshold,TRP,1
blocked_by_threshold,XPO,1
blocked_by_threshold,BROS,1
blocked_by_threshold,BNL,1
blocked_by_threshold,AMT,1
blocked_by_threshold,BEAM,1
blocked_by_threshold,BEN,1
blocked_by_threshold,ENPH,1
blocked_by_threshold,ADI,1
blocked_by_threshold,FRPT,1
blocked_by_threshold,HL,1
blocked_by_threshold,AXTI,1
blocked_by_threshold,SVM,1
blocked_by_threshold,GNTX,1
blocked_by_threshold,ENB,1
blocked_by_threshold,VLY,1
blocked_by_threshold,CHWY,1
blocked_by_threshold,SOLS,1
blocked_by_threshold,ZBH,1
blocked_by_spread,ALHC,1
blocked_by_spread,HIMS,1
blocked_by_spread,PONY,1
blocked_by_spread,CAI,1
blocked_by_spread,BATL,1
blocked_by_spread,WVE,1
blocked_by_spread,RGTI,1
blocked_by_spread,DKNG,1
