section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,98
reject_reason,bracket_invalid,1
reject_reason,vwap_relationship_blocked,1
blocked_by_threshold,WHR,1
blocked_by_threshold,JEF,1
blocked_by_threshold,ARIS,1
blocked_by_threshold,ALKT,1
blocked_by_threshold,QURE,1
blocked_by_threshold,SMTC,1
blocked_by_threshold,U,1
blocked_by_threshold,PFGC,1
blocked_by_threshold,UBS,1
blocked_by_threshold,OBDC,1
blocked_by_threshold,CX,1
blocked_by_threshold,CPNG,1
blocked_by_threshold,CRCL,1
blocked_by_threshold,TMO,1
blocked_by_threshold,AEO,1
blocked_by_threshold,DYN,1
blocked_by_threshold,DFTX,1
blocked_by_threshold,STNE,1
blocked_by_threshold,EXEL,1
blocked_by_threshold,GFI,1
blocked_by_threshold,VITL,1
blocked_by_threshold,FIGS,1
blocked_by_threshold,KRC,1
blocked_by_threshold,TQQQ,1
blocked_by_threshold,MMM,1
blocked_by_threshold,APO,1
blocked_by_threshold,ONB,1
blocked_by_threshold,MET,1
blocked_by_threshold,LUNR,1
blocked_by_threshold,FDX,1
blocked_by_threshold,EXPE,1
blocked_by_threshold,ETSY,1
blocked_by_threshold,UNH,1
blocked_by_threshold,HPE,1
blocked_by_threshold,CAI,1
blocked_by_threshold,RNA,1
blocked_by_threshold,HTGC,1
blocked_by_threshold,REAL,1
blocked_by_threshold,UUUU,1
blocked_by_threshold,FNB,1
blocked_by_threshold,BAC,1
blocked_by_threshold,FSK,1
blocked_by_threshold,ENTG,1
blocked_by_threshold,OKTA,1
blocked_by_threshold,TXG,1
blocked_by_threshold,LNC,1
blocked_by_threshold,SMCI,1
blocked_by_threshold,BW,1
blocked_by_threshold,LUV,1
blocked_by_threshold,CIFR,1
blocked_by_threshold,XENE,1
blocked_by_threshold,TECH,1
blocked_by_threshold,LEVI,1
blocked_by_threshold,CG,1
blocked_by_threshold,AGNC,1
blocked_by_threshold,DOC,1
blocked_by_threshold,AVGO,1
blocked_by_threshold,GFS,1
blocked_by_threshold,UCO,1
blocked_by_threshold,WFRD,1
blocked_by_threshold,SEDG,1
blocked_by_threshold,DT,1
blocked_by_threshold,RCAT,1
blocked_by_threshold,HMC,1
blocked_by_threshold,PONY,1
blocked_by_threshold,TRI,1
blocked_by_threshold,SSNC,1
blocked_by_threshold,ADMA,1
blocked_by_threshold,KRMN,1
blocked_by_threshold,NOMD,1
blocked_by_threshold,DHI,1
blocked_by_threshold,KVYO,1
blocked_by_threshold,BATL,1
blocked_by_threshold,KHC,1
blocked_by_threshold,MOS,1
blocked_by_threshold,VLY,1
blocked_by_threshold,BE,1
blocked_by_threshold,INDV,1
blocked_by_threshold,IONS,1
blocked_by_threshold,BRKR,1
blocked_by_threshold,FWONK,1
blocked_by_threshold,HON,1
blocked_by_threshold,GEN,1
blocked_by_threshold,COHR,1
blocked_by_threshold,PSTG,1
blocked_by_threshold,AMRZ,1
blocked_by_threshold,UEC,1
blocked_by_threshold,ESI,1
blocked_by_threshold,WVE,1
blocked_by_threshold,ARMK,1
blocked_by_threshold,APG,1
blocked_by_threshold,XP,1
blocked_by_threshold,BTU,1
blocked_by_threshold,NVDA,1
blocked_by_threshold,OPCH,1
blocked_by_threshold,SRAD,1
blocked_by_threshold,IREN,1
blocked_by_threshold,FISV,1
blocked_by_spread,SMR,1
blocked_by_spread,U,1
blocked_by_spread,STNE,1
blocked_by_spread,KVYO,1
