section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,100
blocked_by_threshold,BMNR,1
blocked_by_threshold,PSKY,1
blocked_by_threshold,U,1
blocked_by_threshold,FSLY,1
blocked_by_threshold,PSTG,1
blocked_by_threshold,FIG,1
blocked_by_threshold,VITL,1
blocked_by_threshold,TXG,1
blocked_by_threshold,LYB,1
blocked_by_threshold,AR,1
blocked_by_threshold,APLD,1
blocked_by_threshold,UPST,1
blocked_by_threshold,QURE,1
blocked_by_threshold,BIRK,1
blocked_by_threshold,IBKR,1
blocked_by_threshold,AXTI,1
blocked_by_threshold,SRPT,1
blocked_by_threshold,WULF,1
blocked_by_threshold,MIR,1
blocked_by_threshold,ALLY,1
blocked_by_threshold,NTSK,1
blocked_by_threshold,KMT,1
blocked_by_threshold,SEDG,1
blocked_by_threshold,XENE,1
blocked_by_threshold,SOLS,1
blocked_by_threshold,KSS,1
blocked_by_threshold,DUOL,1
blocked_by_threshold,MKSI,1
blocked_by_threshold,MEOH,1
blocked_by_threshold,ALAB,1
blocked_by_threshold,GEO,1
blocked_by_threshold,PONY,1
blocked_by_threshold,LNG,1
blocked_by_threshold,CORZ,1
blocked_by_threshold,USAR,1
blocked_by_threshold,IONQ,1
blocked_by_threshold,BEAM,1
blocked_by_threshold,LITE,1
blocked_by_threshold,VRT,1
blocked_by_threshold,LEVI,1
blocked_by_threshold,BATL,1
blocked_by_threshold,BLDR,1
blocked_by_threshold,HBM,1
blocked_by_threshold,NTLA,1
blocked_by_threshold,CE,1
blocked_by_threshold,RKLB,1
blocked_by_threshold,LRCX,1
blocked_by_threshold,SNPS,1
blocked_by_threshold,ERAS,1
blocked_by_threshold,KNX,1
blocked_by_threshold,WT,1
blocked_by_threshold,OKLO,1
blocked_by_threshold,GLXY,1
blocked_by_threshold,MKC,1
blocked_by_threshold,WBD,1
blocked_by_threshold,FBIN,1
blocked_by_threshold,DDOG,1
blocked_by_threshold,AMPX,1
blocked_by_threshold,RCAT,1
blocked_by_threshold,KRMN,1
blocked_by_threshold,SONY,1
blocked_by_threshold,UMAC,1
blocked_by_threshold,VSCO,1
blocked_by_threshold,CELH,1
blocked_by_threshold,MRNA,1
blocked_by_threshold,CAVA,1
blocked_by_threshold,WPM,1
blocked_by_threshold,BRBR,1
blocked_by_threshold,SE,1
blocked_by_threshold,PBI,1
blocked_by_threshold,SNDK,1
blocked_by_threshold,WDC,1
blocked_by_threshold,WRBY,1
blocked_by_threshold,DFTX,1
blocked_by_threshold,WSC,1
blocked_by_threshold,SUNB,1
blocked_by_threshold,TPG,1
blocked_by_threshold,KMB,1
blocked_by_threshold,TU,1
blocked_by_threshold,VOD,1
blocked_by_threshold,ALB,1
blocked_by_threshold,CUZ,1
blocked_by_threshold,CPRI,1
blocked_by_threshold,RRC,1
blocked_by_threshold,FULT,1
blocked_by_threshold,AAL,1
blocked_by_threshold,PRCT,1
blocked_by_threshold,SCCO,1
blocked_by_threshold,VIAV,1
blocked_by_threshold,ASTS,1
blocked_by_threshold,ACHC,1
blocked_by_threshold,FNGU,1
blocked_by_threshold,DHT,1
blocked_by_threshold,ODFL,1
blocked_by_threshold,TSEM,1
blocked_by_threshold,INDV,1
blocked_by_threshold,NVAX,1
blocked_by_threshold,UPWK,1
blocked_by_threshold,FLR,1
blocked_by_threshold,S,1
blocked_by_spread,U,1
blocked_by_spread,QURE,1
blocked_by_spread,WSC,1
